"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","2","25534195","12","C/C","S","1   Northstar St #1","Marina Del Rey","2","3.00 (2 0 1 0)","1,617","$1,607.92","$2,600,000","$2,700,000","$900.00","11,096","1973","50"
"","32","25535157","12","C/C","S","4317   Alla Rd #1","Marina Del Rey","2","3.00 (2 0 1 0)","1,547","$850.03","$1,315,000","$1,330,000","$778.00","390,168","1975","9"
"","32","25536359","12","C/C","S","4265   Marina City Drive  #603","Marina Del Rey","1","1.00 (1 0 0 0)","935","$636.36","$595,000","$597,000","$958.35","","1972","11"
"","1","25541273","12","C/C","S","13082   Mindanao Way #38","Marina Del Rey","2","3.00 (2 0 1 0)","2,217","$644.56","$1,429,000","$1,494,000","$1,228.50","538,904","1980","15"
"","14","25542595","12","C/C","S","4060   Glencoe Ave #320","Marina Del Rey","1","1.00 (1 0 0 0)","718","$905.29","$649,995","$633,000","$635.16","59,478","2004","11"
"","23","25546391","12","C/C","S","13135   Mindanao Way #5","Marina Del Rey","2","2.00 (2 0 0 0)","1,398","$715.31","$999,999","$912,500","$637.00","552,201","1974","15"
"","39","25549663","12","C/C","S","4775   La Villa Marina  #J","Marina Del Rey","2","3.00 (1 1 1 0)","1,582","$726.93","$1,150,000","$1,113,000","$490.00","87,578","1968","25"
"","17","25550189","12","C/C","S","4622   Glencoe Ave #4","Marina Del Rey","2","3.00 (3 0 0 0)","1,912","$520.40","$995,000","$970,000","$966.00","159,309","1978","15"
"","37","BB23137203MR","12","C/C","S","4938   1/2 McConnell Avenue ","LOS ANGELES","3","3.00 (1 1 1 0)","1,858","$639.94","$1,189,000","$1,180,000","$568.00","","1972","9"
"","49","BB24046513MR","12","C/C","S","13233   Fiji WAY #J","MARINA DEL REY","3","3.00 (3 0 0 0)","1,932","$659.66","$1,274,472","$1,305,000","$500.00","66,626","1970","11"
"","30","BB24182644MR","12","C/C","S","4856 1/2  McConnell AVE ","LOS ANGELES","3","3.00 (2 0 1 0)","1,858","$645.32","$1,199,000","$1,220,000","$616.00","","1972","5"
"","26","BB25103920MR","12","C/C","S","4515   Alla RD #2","MARINA DEL REY","2","3.00 (2 0 1 0)","1,646","$607.53","$999,999","$950,000","$966.00","159,309","1978","2"
"","","COMP23129644","12","C/C","S","4766   LA VILLA MARINA  #F","MARINA DEL REY","2","2.00 (2 0 0 0)","1,582","$568.90","$900,000","$900,000","","66,563","1967","0"
"","","COMP23129866","12","C/C","S","4060   GLENCOE AVE #203","MARINA DEL REY","1","1.00 (1 0 0 0)","690","$992.75","$685,000","$685,000","","59,461","2004","0"
"","","COMP23130206","12","C/C","S","13210   ADMIRAL AVE #F","MARINA DEL REY","2","2.00 (2 0 0 0)","1,833","$638.30","$1,170,000","$1,170,000","","83,571","1968","0"
"","","COMP23130613","12","C/C","S","13236   FIJI WAY #L","MARINA DEL REY","2","2.00 (2 0 0 0)","1,932","$734.99","$1,420,000","$1,420,000","","64,223","1969","0"
"","","COMP23131229","12","C/C","S","13700   MARINA POINTE DR #1020","MARINA DEL REY","1","2.00 (2 0 0 0)","920","$978.26","$900,000","$900,000","","124,705","2003","0"
"","","COMP23131597","12","C/C","S","13222   ADMIRAL AVE #F","MARINA DEL REY","3","2.00 (2 0 0 0)","1,932","$595.24","$1,150,000","$1,150,000","","85,982","1967","0"
"","","COMP23132166","12","C/C","S","4140   GLENCOE AVE #611","VENICE","2","2.00 (2 0 0 0)","1,000","$1,025","$1,025,000","$1,025,000","","39,485","2016","0"
"","","COMP24132812","12","C/C","S","13065   MINDANAO WAY #14","MARINA DEL REY","3","3.00 (3 0 0 0)","1,645","$996.96","$1,640,000","$1,640,000","","390,168","1975","0"
"","","COMP24132858","12","C/C","S","119 1/2  EASTWIND ST ","MARINA DEL REY","3","4.00 (4 0 0 0)","1,997","$995.99","$1,989,000","$1,989,000","","2,631","1999","0"
"","","COMP24133653","12","C/C","S","4600   VIA DOLCE  #2110","MARINA DEL REY","2","2.00 (2 0 0 0)","1,540","$714.29","$1,100,000","$1,100,000","","194,654","1979","0"
"","","COMP24135230","12","C/C","S","13080   MINDANAO WAY #83","MARINA DEL REY","2","3.00 (3 0 0 0)","2,217","$800.63","$1,775,000","$1,775,000","","538,904","1980","0"
"","","COMP24135414","12","C/C","S","5100   VIA DOLCE  #205","MARINA DEL REY","2","2.00 (2 0 0 0)","1,497","$668.00","$1,000,000","$1,000,000","","100,437","1978","0"
"","","COMP24136973","12","C/C","S","6   EASTWIND ST #320","MARINA DEL REY","2","2.00 (2 0 0 0)","1,145","$1,572.05","$1,800,000","$1,800,000","","7,443","1971","0"
"","","COMP24137078","12","C/C","S","11930   AVON WAY #205","LOS ANGELES","2","2.00 (2 0 0 0)","898","$690.42","$620,000","$620,000","","14,840","1986","0"
"","","COMP24137193","12","C/C","S","13650   MARINA POINTE DR #301","MARINA DEL REY","3","3.00 (3 0 0 0)","2,848","$1,101.12","$3,136,000","$3,136,000","","31,659","2006","0"
"","","COMP24138065","12","C/C","S","4365   MCLAUGHLIN AVE #25","LOS ANGELES","2","3.00 (3 0 0 0)","1,249","$664.53","$830,000","$830,000","","54,064","1980","0"
"","","COMP24138089","12","C/C","S","13700   MARINA POINTE DR #305","MARINA DEL REY","3","3.00 (3 0 0 0)","2,171","$801.01","$1,739,000","$1,739,000","","124,705","2003","0"
"","","COMP24138327","12","C/C","S","4358   BERRYMAN AVE #4","LOS ANGELES","1","1.00 (1 0 0 0)","594","$622.90","$370,000","$370,000","","14,505","1972","0"
"","","COMP24139943","12","C/C","S","4315   REDWOOD AVE #1","MARINA DEL REY","2","3.00 (3 0 0 0)","1,866","$750.27","$1,400,000","$1,400,000","","552,201","1974","0"
"","","COMP24139954","12","C/C","S","13241   FIJI WAY #C","MARINA DEL REY","2","2.00 (2 0 0 0)","1,582","$635.27","$1,005,000","$1,005,000","","66,755","1970","0"
"","","COMP24140414","12","C/C","S","13209   FIJI WAY #B","MARINA DEL REY","2","2.00 (2 0 0 0)","1,763","$567.21","$1,000,000","$1,000,000","","87,578","1968","0"
"","","COMP24140426","12","C/C","S","4351   REDWOOD AVE #2","MARINA DEL REY","3","3.00 (3 0 0 0)","1,585","$715.14","$1,133,500","$1,133,500","","552,201","1974","0"
"","","COMP25140688","12","C/C","S","310   TAHITI WAY #118","MARINA DEL REY","2","2.00 (2 0 0 0)","1,613","$588.96","$950,000","$950,000","","194,654","1979","0"
"","","COMP25140950","12","C/C","S","4050   VIA DOLCE  #241","MARINA DEL REY","2","2.00 (2 0 0 0)","1,636","$534.84","$875,000","$875,000","","191,326","1974","0"
"","","COMP25141261","12","C/C","S","13245   FIJI WAY #H","MARINA DEL REY","2","2.00 (2 0 0 0)","1,932","$530.54","$1,025,000","$1,025,000","","66,755","1970","0"
"","","COMP25142607","12","C/C","S","4080   GLENCOE AVE #325","MARINA DEL REY","1","2.00 (2 0 0 0)","1,270","$1,003.94","$1,275,000","$1,275,000","","6,760","2011","0"
"","","COMP25142629","12","C/C","S","3115   OCEAN FRONT WALK #201","MARINA DEL REY","3","3.00 (3 0 0 0)","1,936","$1,691.12","$3,274,000","$3,274,000","","7,325","1982","0"
"","","COMP25142739","12","C/C","S","13065   MINDANAO WAY #10","MARINA DEL REY","2","3.00 (3 0 0 0)","1,575","$698.41","$1,100,000","$1,100,000","","390,168","1975","0"
"","","COMP25142810","12","C/C","S","4314   MARINA CITY DR #116","MARINA DEL REY",""," (0 0 0 0)","1,722","$339.72","$585,000","$585,000","","","","0"
"","","COMP25143218","12","C/C","S","13243   FIJI WAY #L","MARINA DEL REY","2","2.00 (2 0 0 0)","1,763","$765.74","$1,350,000","$1,350,000","","66,755","1970","0"
