"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","42","23-237827","12","C/C","S","4707   La Villa Marina  #H","Marina Del Rey","3","3.00 (3 0 0 0)","1,763","$808.28","$1,425,000","$1,425,000","$432.00","65,854","1966","8"
"","46","23-237889","12","C/C","S","13121   Mindanao Way #3","Marina Del Rey","3","3.00 (3 0 0 0)","1,585","$800","$1,268,000","$1,250,000","$580.00","552,048","1974","40"
"","24","23-237915","12","C/C","S","4771   La Villa Marina  #J","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$789.51","$1,249,000","$1,239,000","$430.00","87,554","1968","20"
"","25","23-238843","12","C/C","S","25 1/2  Mast St ","Marina Del Rey","2","2.00 (1 0 1 0)","1,346","$1,259.29","$1,695,000","$1,654,000","$485.00","6,466","1972","11"
"","1","23-239423","12","C/C","S","13700   MARINA POINTE DR #1618","MARINA DEL REY","1","1.00 (1 0 0 0)","985","$837.56","$825,000","$825,000","$1,038.13","124,670","2003","7"
"","21","23-239545","12","C/C","S","11806   Avon Way #102","Los Angeles","2","3.00 (2 0 1 0)","1,618","$543.26","$879,000","$870,000","$450.00","6,962","1991","19"
"","40","23-241587","12","C/C","S","13600   Marina Pointe Dr #1604","Marina Del Rey","2","3.00 (3 0 0 0)","1,853","$862.92","$1,599,000","$1,486,875","$1,977.69","122,880","1999","31"
"","44","23-241689","12","C/C","S","4748   La Villa Marina  #D","Marina Del Rey","3","3.00 (2 0 1 0)","1,932","$698.24","$1,349,000","$1,560,000","$495.00","66,563","1967","14"
"","1","23-241947","12","C/C","S","25   Hurricane St #4","Marina Del Rey","2","3.00 (2 0 1 0)","1,371","$1,090.44","$1,495,000","$1,475,000","$350.00","6,105","1981","23"
"","1","23-242057","12","C/C","S","13700   Marina Pointe Dr #1104","Marina Del Rey","2","2.00 (2 0 0 0)","1,240","$1,047.58","$1,299,000","$1,250,000","$1,114.74","124,662","2003","12"
"","15","23-242229","12","C/C","S","13035   Mindanao Way #6","Marina Del Rey","2","3.00 (3 0 0 0)","1,547","$678.09","$1,049,000","$1,098,000","$653.00","390,060","1975","6"
"","1","23-242741","12","C/C","S","13600   Marina Pointe Dr #607","Marina Del Rey","2","3.00 (2 0 1 0)","1,850","$594.59","$1,100,000","$1,100,000","$1,969.37","122,880","1999","0"
"","1","23-243187","12","C/C","S","13224   Admiral Ave #J","Marina Del Rey","3","3.00 (2 0 1 0)","1,932","$722.05","$1,395,000","$1,525,000","$475.00","85,878","1967","12"
"","28","23-243573","12","C/C","S","13600   Marina Pointe Dr #307","Marina Del Rey","2","3.00 (2 0 1 0)","1,850","$905.41","$1,675,000","$1,638,500","$1,969.37","122,880","1999","69"
"","38","23-244903","12","C/C","S","11818   Courtleigh Dr #203","Los Angeles","2","2.00 (2 0 0 0)","1,308","$668.96","$875,000","$865,000","$400.00","8,019","1982","16"
"","1","23-244923","12","C/C","S","13700   Marina Pointe Dr #1205","Marina Del Rey","3","3.00 (2 0 1 0)","2,331","$1,276.28","$2,975,000","$2,625,000","$1,355.46","124,670","2003","63"
"","43","23-245015","12","C/C","S","4316   Marina City DR #425","MARINA DEL REY","1","1.00 (1 0 0 0)","1,005","$556.22","$559,000","$555,000","$870.26","","1972","50"
"","38","23-246269","12","C/C","S","3636   Via Dolce  ","Marina Del Rey","2","3.00 (3 0 0 0)","1,634","$902.69","$1,475,000","$1,525,000","$540.00","105,178","1978","0"
"","29","23-247365","12","C/C","S","3111   Via Dolce  #401","Marina Del Rey","3","3.00 (3 0 0 0)","2,230","$1,029.15","$2,295,000","$2,150,000","$1,143.29","27,349","2010","12"
